id,shipment_id,send_timestamp,pick_up_point,drop_off_point,source_country,destination_country,freight_cost,gross_weight,shipment_charges,shipment_mode,shipping_company,selected,shipping_time
0,S000720,08-06-2019 07:17,A,Y,GB,IN,88.61,355,0.75,Air,SC3,Y,5.00741
1,S000725,12-07-2019 15:23,A,Y,GB,IN,85.65,105,0.9,Ocean,SC1,Y,21.41215
2,S000736,04-10-2019 14:23,A,Y,GB,IN,86.22,100,0.75,Air,SC3,Y,5.33692
3,S000738,07-01-2020 09:19,A,Y,GB,IN,94.43,1071,1.05,Air,SC2,Y,5.14792
4,S000739,11-04-2020 06:36,A,Y,GB,IN,94.24,2007,0.75,Air,SC3,Y,5.03067
5,S001718,27-05-2019 11:53,A,Y,GB,IN,87.84,228.7,0.75,Air,SC3,Y,5.18611
6,S001720,08-06-2019 07:46,A,Y,GB,IN,89,119,0.75,Air,SC3,Y,5.2206
7,S001736,04-10-2019 14:26,A,Y,GB,IN,86.7,65,0.9,Ocean,SC1,Y,11.01481
8,S001737,20-11-2019 12:26,A,Y,GB,IN,92.31,114,0.75,Air,SC3,Y,5.33322
9,S001738,07-01-2020 09:22,A,Y,GB,IN,94.65,1071,0.75,Air,SC3,Y,5.26968
10,S001739,11-04-2020 06:49,A,Y,GB,IN,94.83,1005,1.05,Air,SC2,Y,5.06424
11,S002728,02-08-2019 15:02,A,Y,GB,IN,83.56,400,0.9,Ocean,SC1,Y,21.26759
12,S002737,20-11-2019 13:03,A,Y,GB,IN,92.1871,168,0.9,Ocean,SC1,Y,30.43912
13,S003706,08-03-2019 10:42,A,Y,GB,IN,91.47,405,0.9,Ocean,SC1,Y,9.45833
14,S003718,27-05-2019 11:56,A,Y,GB,IN,87.9,232.5,0.9,Ocean,SC1,Y,19.97303
15,S003720,08-06-2019 08:45,A,Y,GB,IN,88.84,235,1.05,Air,SC2,Y,5.13484
16,S003736,04-10-2019 14:29,A,Y,GB,IN,86.84,100,0.75,Air,SC3,Y,5.04653
17,S004718,27-05-2019 11:57,A,Y,GB,IN,87.9,177,0.9,Ocean,SC1,Y,19.97986
